student_id,domain,domain_avg_score,domain_trend,domain_completion_rate,domain_overdue_count,ipsative_zscore,label
SYN-0021,stem_logic,60.53,declining,0.912,0,-0.4363,Emerging
SYN-0021,creative_arts,71.11,improving,0.829,1,1.3833,Strength
SYN-0021,physical_movement,65.26,stable,0.786,1,0.3772,Developing
SYN-0022,language_literacy,0.0,stable,0.252,7,-1.1449,Emerging
SYN-0022,stem_logic,10.97,stable,0.399,6,-0.7086,Emerging
SYN-0022,creative_arts,39.91,declining,0.612,4,0.4421,Emerging
SYN-0022,physical_movement,64.28,stable,0.763,2,1.4113,Strength
SYN-0023,language_literacy,62.27,declining,0.88,2,0.5678,Emerging
SYN-0023,stem_logic,52.5,stable,0.708,4,-1.1505,Emerging
SYN-0023,creative_arts,66.65,stable,0.766,3,1.3364,Strength
SYN-0023,physical_movement,54.75,stable,0.738,5,-0.7536,Emerging
SYN-0024,language_literacy,53.1,stable,0.785,0,0.2554,Developing
SYN-0024,stem_logic,51.32,declining,0.636,2,0.055,Emerging
SYN-0024,creative_arts,61.86,stable,0.739,2,1.2382,Developing
SYN-0024,physical_movement,37.02,declining,0.494,3,-1.5487,Emerging
SYN-0025,language_literacy,85.5,declining,0.819,1,0.2268,Emerging
SYN-0025,stem_logic,99.66,improving,0.962,0,1.4839,Strength
SYN-0025,creative_arts,69.08,declining,0.961,0,-1.2316,Emerging
SYN-0025,physical_movement,77.55,stable,0.972,0,-0.4791,Developing
SYN-0026,language_literacy,61.65,stable,0.779,0,-0.005,Developing
SYN-0026,stem_logic,91.79,improving,0.954,2,1.6116,Strength
SYN-0026,creative_arts,42.35,declining,0.842,1,-1.0401,Emerging
SYN-0026,physical_movement,51.18,declining,0.582,2,-0.5665,Emerging
SYN-0027,language_literacy,41.25,stable,0.575,3,-0.6866,Emerging
SYN-0027,stem_logic,71.89,stable,0.755,0,1.5634,Strength
SYN-0027,creative_arts,52.69,stable,0.758,0,0.1533,Developing
SYN-0027,physical_movement,36.58,stable,0.689,4,-1.03,Emerging
SYN-0028,language_literacy,70.91,stable,0.829,1,-1.0198,Emerging
SYN-0028,stem_logic,76.71,declining,0.941,0,-0.3677,Emerging
SYN-0028,creative_arts,77.56,stable,0.873,1,-0.2712,Developing
SYN-0028,physical_movement,94.72,improving,0.918,1,1.6587,Strength
SYN-0029,language_literacy,74.12,stable,0.821,0,0.681,Strength
SYN-0029,stem_logic,82.37,stable,0.883,1,1.1439,Strength
SYN-0029,creative_arts,55.17,declining,0.712,3,-0.3819,Emerging
SYN-0029,physical_movement,36.25,stable,0.454,3,-1.4429,Emerging
SYN-0030,language_literacy,97.99,improving,0.91,1,0.8032,Strength
SYN-0030,stem_logic,52.67,stable,0.481,2,-1.601,Emerging
SYN-0030,creative_arts,99.54,improving,1.0,0,0.8854,Strength
SYN-0030,physical_movement,81.2,stable,0.843,2,-0.0876,Developing
SYN-0031,language_literacy,85.86,stable,0.728,1,0.1496,Developing
SYN-0031,stem_logic,100.0,improving,1.0,1,1.4744,Strength
SYN-0031,creative_arts,80.85,declining,0.834,1,-0.3194,Emerging
SYN-0031,physical_movement,70.33,stable,0.738,0,-1.3046,Emerging
SYN-0032,language_literacy,63.41,stable,0.695,1,0.2143,Developing
SYN-0032,stem_logic,46.06,declining,0.749,1,-0.5983,Emerging
SYN-0032,creative_arts,91.27,stable,1.0,0,1.5191,Strength
SYN-0032,physical_movement,34.61,stable,0.455,5,-1.1351,Emerging
SYN-0033,language_literacy,97.99,improving,0.955,0,0.8143,Strength
SYN-0033,stem_logic,97.55,improving,0.992,0,0.7878,Strength
SYN-0033,creative_arts,85.38,stable,0.769,1,0.0455,Developing
SYN-0033,physical_movement,57.63,declining,0.913,1,-1.6475,Emerging
SYN-0034,language_literacy,94.59,stable,0.995,0,0.7874,Strength
SYN-0034,stem_logic,77.79,declining,0.73,3,-1.7006,Emerging
SYN-0034,creative_arts,93.63,stable,0.969,0,0.6448,Strength
SYN-0034,physical_movement,91.09,improving,0.906,2,0.2685,Developing
SYN-0035,language_literacy,60.19,stable,0.752,2,-0.5083,Emerging
SYN-0035,stem_logic,59.21,improving,0.738,1,-0.6036,Emerging
SYN-0035,creative_arts,59.06,stable,0.655,3,-0.6186,Emerging
SYN-0035,physical_movement,83.19,stable,0.788,0,1.7305,Strength
SYN-0036,language_literacy,57.89,declining,0.579,0,0.1676,Emerging
SYN-0036,stem_logic,67.08,stable,0.758,2,1.2981,Strength
SYN-0036,creative_arts,44.24,stable,0.655,2,-1.5116,Emerging
SYN-0036,physical_movement,56.9,improving,0.749,3,0.0459,Developing
SYN-0037,language_literacy,65.9,stable,0.819,2,0.4933,Developing
SYN-0037,stem_logic,61.66,stable,0.649,1,-1.0731,Emerging
SYN-0037,creative_arts,62.36,stable,0.787,1,-0.8139,Emerging
SYN-0037,physical_movement,68.33,declining,0.728,1,1.3938,Emerging
SYN-0038,language_literacy,45.54,stable,0.609,2,-1.6606,Emerging
SYN-0038,stem_logic,76.37,improving,0.88,1,0.8559,Strength
SYN-0038,creative_arts,67.07,declining,0.892,0,0.0972,Emerging
SYN-0038,physical_movement,74.55,stable,0.684,2,0.7075,Developing
SYN-0039,language_literacy,95.38,declining,0.991,0,1.5107,Emerging
SYN-0039,stem_logic,72.54,stable,0.796,3,-0.9505,Emerging
SYN-0039,creative_arts,84.08,stable,0.898,1,0.2932,Developing
SYN-0039,physical_movement,73.44,stable,0.906,0,-0.8534,Emerging
SYN-0040,language_literacy,62.46,declining,0.679,2,-0.3635,Emerging
SYN-0040,stem_logic,67.32,improving,0.998,0,1.7093,Strength
SYN-0040,creative_arts,62.06,stable,0.613,2,-0.5307,Emerging
SYN-0040,physical_movement,61.4,stable,0.751,2,-0.8151,Emerging
SYN-0041,language_literacy,64.21,stable,0.584,0,-1.3294,Emerging
SYN-0041,stem_logic,66.42,stable,0.721,2,-0.4995,Developing
SYN-0041,creative_arts,69.14,improving,0.589,1,0.5203,Developing
SYN-0041,physical_movement,71.24,stable,0.588,3,1.3086,Developing
SYN-0042,language_literacy,98.91,improving,1.0,0,1.3665,Strength
SYN-0042,stem_logic,86.98,stable,0.759,1,0.4523,Developing
SYN-0042,creative_arts,74.04,stable,0.885,0,-0.5392,Emerging
SYN-0042,physical_movement,64.37,declining,0.892,2,-1.2796,Emerging
SYN-0043,language_literacy,54.02,declining,0.495,3,-0.6061,Emerging
SYN-0043,stem_logic,68.45,declining,0.799,2,0.4531,Emerging
SYN-0043,creative_arts,45.51,stable,0.574,4,-1.2303,Emerging
SYN-0043,physical_movement,81.13,stable,0.919,0,1.3833,Strength
SYN-0044,language_literacy,0.58,stable,0.112,6,-1.216,Emerging
SYN-0044,stem_logic,6.41,stable,0.229,6,-0.6046,Emerging
SYN-0044,creative_arts,16.09,improving,0.235,8,0.4109,Emerging
SYN-0044,physical_movement,25.62,stable,0.559,2,1.4096,Developing
SYN-0045,language_literacy,93.71,declining,0.959,0,0.5147,Emerging
SYN-0045,stem_logic,79.81,stable,0.913,0,-1.2871,Emerging
SYN-0045,creative_arts,100.0,stable,0.955,0,1.3297,Strength
SYN-0045,physical_movement,85.44,stable,0.961,0,-0.5573,Emerging
SYN-0046,language_literacy,96.09,improving,0.974,1,0.9625,Strength
SYN-0046,stem_logic,79.5,stable,0.987,0,-1.6589,Emerging
SYN-0046,creative_arts,90.94,declining,0.966,0,0.1491,Emerging
SYN-0046,physical_movement,93.46,stable,0.964,0,0.5474,Strength
SYN-0047,language_literacy,83.22,declining,0.773,2,0.8072,Emerging
SYN-0047,stem_logic,81.78,stable,0.838,0,0.6919,Strength
SYN-0047,creative_arts,52.25,declining,0.574,1,-1.6839,Emerging
SYN-0047,physical_movement,75.48,stable,0.875,3,0.1848,Developing
SYN-0048,language_literacy,80.94,stable,0.944,1,-0.3708,Developing
SYN-0048,stem_logic,95.95,improving,0.992,0,1.6398,Strength
SYN-0048,creative_arts,75.77,improving,0.749,1,-1.0637,Emerging
SYN-0048,physical_movement,82.18,improving,0.837,2,-0.2053,Developing
SYN-0049,language_literacy,80.33,stable,0.793,2,0.4856,Developing
SYN-0049,stem_logic,75.2,stable,0.86,1,-0.0624,Developing
SYN-0049,creative_arts,61.1,stable,0.788,0,-1.5663,Emerging
SYN-0049,physical_movement,86.49,stable,0.784,1,1.1432,Strength
SYN-0050,language_literacy,75.86,declining,0.833,0,0.302,Emerging
SYN-0050,stem_logic,73.41,stable,0.831,0,-0.7772,Emerging
SYN-0050,creative_arts,72.84,stable,0.87,2,-1.0256,Emerging
SYN-0050,physical_movement,78.59,stable,0.764,0,1.5009,Strength
SYN-0051,language_literacy,66.94,stable,0.792,1,-0.8037,Emerging
SYN-0051,stem_logic,88.65,declining,0.816,2,1.7123,Emerging
SYN-0051,creative_arts,69.37,stable,0.627,0,-0.5219,Emerging
SYN-0051,physical_movement,70.54,improving,0.676,2,-0.3868,Developing
SYN-0052,language_literacy,63.49,stable,0.56,1,-0.8207,Emerging
SYN-0052,stem_logic,57.17,stable,0.646,2,-1.1629,Emerging
SYN-0052,creative_arts,98.08,stable,0.829,0,1.0508,Strength
SYN-0052,physical_movement,95.9,stable,0.921,0,0.9328,Strength
SYN-0053,language_literacy,31.61,improving,0.547,1,-1.3521,Emerging
SYN-0053,stem_logic,98.88,improving,0.965,0,1.1151,Strength
SYN-0053,creative_arts,90.0,improving,0.947,0,0.7894,Strength
SYN-0053,physical_movement,53.42,improving,0.757,1,-0.5524,Emerging
SYN-0054,language_literacy,59.97,stable,0.795,4,-0.9731,Emerging
SYN-0054,stem_logic,59.41,stable,0.681,2,-1.0059,Emerging
SYN-0054,creative_arts,96.63,stable,1.0,1,1.1931,Strength
SYN-0054,physical_movement,89.74,declining,0.876,2,0.786,Emerging
SYN-0055,language_literacy,81.91,stable,0.829,1,0.7604,Strength
SYN-0055,stem_logic,87.2,stable,0.824,0,1.1807,Strength
SYN-0055,creative_arts,63.5,declining,0.6,4,-0.7025,Emerging
SYN-0055,physical_movement,56.75,stable,0.908,1,-1.2386,Emerging
SYN-0056,language_literacy,93.74,declining,0.858,0,0.3421,Emerging
SYN-0056,stem_logic,100.0,improving,1.0,0,0.8979,Strength
SYN-0056,creative_arts,95.0,stable,0.924,1,0.4543,Developing
SYN-0056,physical_movement,70.78,declining,0.725,1,-1.6942,Emerging
SYN-0057,language_literacy,93.36,improving,0.75,2,-0.6676,Emerging
SYN-0057,stem_logic,100.0,stable,1.0,0,1.489,Strength
SYN-0057,creative_arts,91.98,improving,0.932,1,-1.1178,Emerging
SYN-0057,physical_movement,96.33,stable,1.0,0,0.2964,Developing
SYN-0058,language_literacy,70.1,declining,0.934,0,-0.9353,Emerging
SYN-0058,stem_logic,68.92,declining,0.972,0,-1.0444,Emerging
SYN-0058,creative_arts,88.75,stable,0.936,0,0.7963,Strength
SYN-0058,physical_movement,92.91,improving,0.918,0,1.1834,Strength
SYN-0059,language_literacy,55.09,declining,0.477,3,-1.4611,Emerging
SYN-0059,stem_logic,88.58,improving,0.826,1,1.3185,Strength
SYN-0059,creative_arts,76.46,stable,0.873,0,0.3127,Developing
SYN-0059,physical_movement,70.64,stable,0.841,0,-0.1701,Developing
SYN-0060,language_literacy,68.56,declining,0.698,3,0.417,Emerging
SYN-0060,stem_logic,68.28,stable,0.758,0,0.3798,Developing
SYN-0060,creative_arts,52.52,stable,0.667,3,-1.6954,Emerging
SYN-0060,physical_movement,72.21,improving,0.724,1,0.8986,Developing
SYN-0061,language_literacy,65.35,stable,0.816,1,1.1949,Strength
SYN-0061,stem_logic,54.83,improving,0.578,1,-0.7305,Emerging
SYN-0061,creative_arts,62.92,declining,0.785,1,0.7503,Emerging
SYN-0061,physical_movement,52.19,stable,0.6,2,-1.2148,Emerging
SYN-0062,language_literacy,80.65,stable,0.964,0,1.0988,Strength
SYN-0062,stem_logic,56.05,declining,0.589,8,-1.1366,Emerging
SYN-0062,creative_arts,59.23,declining,0.745,2,-0.8472,Emerging
SYN-0062,physical_movement,78.29,improving,0.739,2,0.8849,Developing
SYN-0063,language_literacy,65.57,stable,0.932,0,0.3808,Developing
SYN-0063,stem_logic,72.85,stable,0.875,0,1.4108,Strength
SYN-0063,creative_arts,54.01,stable,0.717,0,-1.2563,Emerging
SYN-0063,physical_movement,59.1,improving,0.801,4,-0.5353,Emerging
SYN-0064,language_literacy,90.61,stable,0.891,0,1.2896,Strength
SYN-0064,stem_logic,81.3,improving,0.976,0,0.4285,Developing
SYN-0064,creative_arts,61.1,stable,0.649,3,-1.4411,Emerging
SYN-0064,physical_movement,73.68,stable,0.718,1,-0.2769,Developing
SYN-0065,language_literacy,84.63,declining,0.893,0,-0.5665,Emerging
SYN-0065,stem_logic,76.7,stable,0.734,0,-1.3543,Emerging
SYN-0065,creative_arts,100.0,stable,1.0,0,0.9604,Strength
SYN-0065,physical_movement,100.0,stable,1.0,0,0.9604,Strength
SYN-0066,language_literacy,67.0,stable,0.906,0,0.7392,Strength
SYN-0066,stem_logic,66.31,stable,0.827,1,0.6651,Strength
SYN-0066,creative_arts,62.98,declining,0.673,0,0.3042,Emerging
SYN-0066,physical_movement,44.39,stable,0.641,4,-1.7084,Emerging
SYN-0067,language_literacy,68.6,stable,0.714,1,-1.2956,Emerging
SYN-0067,stem_logic,79.18,stable,0.801,1,1.332,Strength
SYN-0067,creative_arts,75.85,stable,0.607,1,0.5046,Developing
SYN-0067,physical_movement,71.64,declining,0.737,2,-0.5411,Emerging
SYN-0068,language_literacy,64.53,declining,0.575,1,-0.914,Emerging
SYN-0068,stem_logic,63.69,declining,0.906,0,-1.0812,Emerging
SYN-0068,creative_arts,73.91,stable,0.716,1,0.9457,Developing
SYN-0068,physical_movement,74.43,stable,0.661,3,1.0495,Developing
SYN-0069,language_literacy,83.51,stable,1.0,1,0.0501,Developing
SYN-0069,stem_logic,87.57,improving,0.935,0,1.5986,Strength
SYN-0069,creative_arts,80.69,declining,1.0,0,-1.0281,Emerging
SYN-0069,physical_movement,81.76,stable,0.675,2,-0.6206,Emerging
SYN-0070,language_literacy,100.0,improving,0.796,2,1.0062,Strength
SYN-0070,stem_logic,84.97,stable,0.885,1,-1.4563,Emerging
SYN-0070,creative_arts,99.01,stable,1.0,0,0.8437,Strength
SYN-0070,physical_movement,91.46,improving,1.0,0,-0.3937,Developing
SYN-0071,language_literacy,51.02,stable,0.775,2,-1.1235,Emerging
SYN-0071,stem_logic,65.4,improving,0.779,3,1.3201,Strength
SYN-0071,creative_arts,52.94,stable,0.618,4,-0.7968,Emerging
SYN-0071,physical_movement,61.16,declining,0.861,3,0.6002,Emerging
SYN-0072,language_literacy,72.43,declining,0.831,0,0.1777,Emerging
SYN-0072,stem_logic,89.22,stable,0.8,1,1.4619,Strength
SYN-0072,creative_arts,65.84,declining,0.798,2,-0.3264,Emerging
SYN-0072,physical_movement,52.94,improving,0.652,2,-1.3132,Emerging
SYN-0073,language_literacy,80.07,stable,0.902,1,1.3733,Strength
SYN-0073,stem_logic,62.68,stable,0.794,1,-0.5632,Emerging
SYN-0073,creative_arts,71.79,stable,0.9,1,0.4519,Developing
SYN-0073,physical_movement,56.4,declining,0.624,1,-1.262,Emerging
SYN-0074,language_literacy,32.41,declining,0.515,7,-1.6021,Emerging
SYN-0074,stem_logic,63.99,stable,0.752,2,0.4943,Developing
SYN-0074,creative_arts,72.97,improving,0.819,1,1.0902,Strength
SYN-0074,physical_movement,56.81,stable,0.849,0,0.0175,Developing
SYN-0075,language_literacy,86.7,declining,0.933,0,-0.1721,Emerging
SYN-0075,stem_logic,91.4,improving,0.935,0,0.3473,Developing
SYN-0075,creative_arts,100.0,stable,1.0,0,1.297,Strength
SYN-0075,physical_movement,74.92,declining,0.743,2,-1.4722,Emerging
SYN-0076,language_literacy,52.77,stable,0.614,2,-1.023,Emerging
SYN-0076,stem_logic,55.27,stable,0.742,0,-0.8079,Emerging
SYN-0076,creative_arts,68.79,stable,0.875,0,0.3568,Developing
SYN-0076,physical_movement,81.77,stable,0.937,0,1.4742,Strength
SYN-0077,language_literacy,76.88,stable,0.855,0,-0.1489,Developing
SYN-0077,stem_logic,84.3,stable,0.887,0,0.4101,Developing
SYN-0077,creative_arts,58.9,declining,0.677,0,-1.5045,Emerging
SYN-0077,physical_movement,95.36,improving,0.876,3,1.2434,Strength
SYN-0078,language_literacy,51.22,stable,0.566,0,-0.4445,Developing
SYN-0078,stem_logic,42.73,stable,0.451,1,-1.3042,Emerging
SYN-0078,creative_arts,58.95,improving,0.9,1,0.3392,Developing
SYN-0078,physical_movement,69.51,stable,0.707,2,1.4094,Developing
SYN-0079,language_literacy,42.25,stable,0.471,5,0.0182,Emerging
SYN-0079,stem_logic,26.5,declining,0.492,4,-1.4483,Emerging
SYN-0079,creative_arts,56.85,stable,0.886,4,1.3782,Strength
SYN-0079,physical_movement,42.61,stable,0.603,2,0.0519,Developing
SYN-0080,language_literacy,79.87,stable,1.0,0,0.5447,Strength
SYN-0080,stem_logic,65.18,declining,0.618,2,-0.2991,Emerging
SYN-0080,creative_arts,44.94,improving,0.484,6,-1.4614,Emerging
SYN-0080,physical_movement,91.56,improving,0.917,0,1.2158,Strength
SYN-0081,language_literacy,71.82,improving,0.778,3,0.8707,Strength
SYN-0081,stem_logic,72.78,stable,0.747,5,1.0103,Developing
SYN-0081,creative_arts,56.06,declining,0.6,2,-1.4159,Emerging
SYN-0081,physical_movement,62.61,improving,0.605,2,-0.4651,Developing
SYN-0082,language_literacy,71.88,improving,0.727,2,0.7238,Developing
SYN-0082,stem_logic,74.82,stable,0.741,0,1.241,Developing
SYN-0082,creative_arts,62.49,stable,0.786,0,-0.9295,Emerging
SYN-0082,physical_movement,61.88,declining,0.767,2,-1.0353,Emerging
SYN-0083,language_literacy,73.99,declining,0.763,2,-0.0376,Emerging
SYN-0083,stem_logic,88.98,stable,1.0,0,1.6447,Strength
SYN-0083,creative_arts,66.87,stable,0.764,1,-0.8374,Emerging
SYN-0083,physical_movement,67.47,stable,0.746,2,-0.7696,Emerging
SYN-0084,language_literacy,100.0,stable,0.935,0,1.1949,Strength
SYN-0084,stem_logic,82.5,stable,1.0,0,-0.4775,Developing
SYN-0084,creative_arts,73.05,improving,0.954,1,-1.3802,Emerging
SYN-0084,physical_movement,94.43,stable,0.962,0,0.6628,Strength
SYN-0085,language_literacy,60.42,stable,0.776,0,-0.7319,Emerging
SYN-0085,stem_logic,66.55,stable,0.703,6,0.1248,Developing
SYN-0085,creative_arts,76.97,stable,0.76,0,1.5811,Strength
SYN-0085,physical_movement,58.69,stable,0.763,0,-0.974,Emerging
SYN-0086,language_literacy,65.33,stable,0.671,1,-1.5557,Emerging
SYN-0086,stem_logic,75.75,stable,0.969,0,0.0631,Developing
SYN-0086,creative_arts,77.06,stable,0.846,1,0.2658,Developing
SYN-0086,physical_movement,83.24,stable,1.0,0,1.2268,Strength
SYN-0087,language_literacy,42.31,stable,0.546,5,-0.3876,Developing
SYN-0087,stem_logic,50.52,stable,0.698,2,1.1858,Developing
SYN-0087,creative_arts,36.87,declining,0.551,3,-1.4299,Emerging
SYN-0087,physical_movement,47.63,declining,0.586,5,0.6317,Emerging
SYN-0088,language_literacy,64.3,stable,0.488,2,1.23,Emerging
SYN-0088,stem_logic,47.97,declining,0.563,6,-0.6746,Emerging
SYN-0088,creative_arts,43.06,declining,0.505,3,-1.2467,Emerging
SYN-0088,physical_movement,59.68,improving,0.747,1,0.6913,Developing
SYN-0089,language_literacy,65.99,declining,0.771,0,1.5567,Emerging
SYN-0089,stem_logic,24.63,stable,0.637,3,-0.71,Emerging
SYN-0089,creative_arts,40.77,declining,0.626,1,0.1743,Emerging
SYN-0089,physical_movement,18.96,declining,0.438,2,-1.021,Emerging
SYN-0090,language_literacy,41.08,stable,0.524,1,-0.7601,Emerging
SYN-0090,stem_logic,69.02,stable,0.679,2,1.7042,Developing
SYN-0090,creative_arts,42.19,declining,0.635,1,-0.6621,Emerging
SYN-0090,physical_movement,46.5,declining,0.55,6,-0.282,Emerging
SYN-0091,language_literacy,94.51,improving,0.957,1,1.413,Strength
SYN-0091,stem_logic,67.85,stable,0.575,6,-0.6656,Emerging
SYN-0091,creative_arts,61.33,declining,0.573,4,-1.174,Emerging
SYN-0091,physical_movement,81.86,stable,0.736,0,0.4266,Developing
SYN-0092,language_literacy,57.49,declining,0.763,0,-1.5122,Emerging
SYN-0092,stem_logic,73.69,improving,1.0,0,0.8076,Strength
SYN-0092,creative_arts,66.06,stable,0.831,2,-0.2853,Developing
SYN-0092,physical_movement,74.96,stable,0.67,3,0.9898,Developing
SYN-0093,language_literacy,57.83,stable,0.703,2,-0.5464,Emerging
SYN-0093,stem_logic,58.73,stable,0.693,2,-0.4466,Developing
SYN-0093,creative_arts,78.13,improving,0.837,1,1.7231,Strength
SYN-0093,physical_movement,56.19,declining,0.472,0,-0.7301,Emerging
SYN-0094,language_literacy,84.84,improving,1.0,1,1.1888,Strength
SYN-0094,stem_logic,61.05,stable,0.955,0,-1.167,Emerging
SYN-0094,creative_arts,64.82,stable,0.732,0,-0.7935,Emerging
SYN-0094,physical_movement,80.63,stable,1.0,0,0.7717,Strength
SYN-0095,language_literacy,68.8,stable,0.708,1,-1.2146,Emerging
SYN-0095,stem_logic,78.16,stable,0.749,1,0.0502,Developing
SYN-0095,creative_arts,74.99,stable,0.855,0,-0.3781,Developing
SYN-0095,physical_movement,89.2,improving,0.913,1,1.5425,Strength
SYN-0096,language_literacy,74.21,stable,0.686,4,-0.8532,Emerging
SYN-0096,stem_logic,73.42,stable,0.739,1,-0.9391,Emerging
SYN-0096,creative_arts,84.57,stable,1.0,0,0.27,Developing
